,start_time,end_time,key,reaction_time
0,3.597990144044161e-06,2.7294018999964464,n,2.7293983020063024
1,4.975008778274059e-06,0.1745788550178986,r,0.17457388000912033
2,3.421999281272292e-06,0.04097145202104002,n,0.04096803002175875
3,3.770983312278986e-06,2.234378227003617,r,2.234374456020305
4,4.031026037409902e-06,0.07845102500868961,n,0.0784469939826522
5,3.7589925341308117e-06,0.8337727329926565,r,0.8337689740001224
6,3.8660073187202215e-06,1.5293223269982263,n,1.5293184609909076
7,3.5260163713246584e-06,1.6536039689963218,r,1.6536004429799505
8,4.259985871613026e-06,1.159509432996856,r,1.1595051730109844
9,4.072993760928512e-06,1.1056251469999552,r,1.1056210740061942
10,3.562017809599638e-06,1.1587765700242016,r,1.158773008006392
11,3.829016350209713e-06,0.8467159440042451,n,0.8467121149878949
12,3.650988219305873e-06,0.5329140329849906,r,0.5329103819967713
13,4.038010956719518e-06,0.8113388770143501,r,0.8113348390033934
14,4.175002686679363e-06,0.30408548400737345,r,0.3040813090046868
15,3.825000021606684e-06,0.5415066269924864,r,0.5415028019924648
16,3.9130100049078465e-06,0.40089023200562224,r,0.40088631899561733
17,3.4660042729228735e-06,0.39061740299803205,r,0.3906139369937591
18,3.7399877328425646e-06,0.7925041719863657,n,0.7925004319986328
19,4.147994332015514e-06,0.8839617890189402,r,0.8839576410246082
20,3.916997229680419e-06,0.601599621004425,r,0.6015957040071953
21,3.911001840606332e-06,0.5183003770071082,r,0.5182964660052676
22,3.8539874367415905e-06,0.2083633840084076,r,0.20835953002097085
23,3.7669960875064135e-06,1.16591964600957,r,1.1659158790134825
24,4.036002792418003e-06,1.1795201120257843,n,1.179516076022992
25,5.528010660782456e-06,2.697282829991309,r,2.697277301980648
26,4.438974428921938e-06,0.29552027297904715,r,0.2955158340046182
27,4.216009983792901e-06,0.08230351400561631,r,0.08229929799563251
28,3.87101317755878e-06,0.6678748580161482,r,0.6678709870029707
29,3.6940036807209253e-06,0.20722108200425282,r,0.2072173880005721
30,4.339002771303058e-06,0.3078689690155443,r,0.307864630012773
31,3.917986759915948e-06,1.0787422049907036,r,1.0787382870039437
32,3.908004146069288e-06,0.030468757002381608,r,0.03046484899823554
33,3.877008566632867e-06,0.07168360400828533,r,0.0716797269997187
34,3.849010681733489e-06,0.826450130000012,r,0.8264462809893303
35,4.029017873108387e-06,0.7222590559977107,r,0.7222550269798376
36,3.4139957278966904e-06,0.40006636301404797,r,0.40006294901832007
37,4.050001734867692e-06,0.184809847996803,r,0.18480579799506813
38,3.7660065572708845e-06,1.3635794419969898,r,1.3635756759904325
39,3.5249977372586727e-06,0.5057352099975105,r,0.5057316849997733
40,4.002009518444538e-06,0.21275807300116867,n,0.21275407099165022
41,3.8199941627681255e-06,0.0666058269853238,r,0.06660200699116103
42,4.003028152510524e-06,0.42880115800653584,r,0.42879715497838333
43,4.058994818478823e-06,0.02547519697691314,r,0.02547113798209466
44,4.558998625725508e-06,0.394327000976773,n,0.39432244197814725
45,4.0199956856667995e-06,0.06873890300630592,r,0.06873488301062025
46,4.808010999113321e-06,0.05091746000107378,r,0.050912651990074664
47,4.108005668967962e-06,0.6910192710056435,r,0.6910151629999746
48,3.977009328082204e-06,0.04105774502386339,r,0.04105376801453531
49,6.9829984568059444e-06,0.5928503600007389,r,0.5928433770022821
